,date,SMP,LNG (kWh),branch,heat_demand,year,month,day,hour,ymd,imputated_temperature,season
1,2021-01-01 01:00:00,67.53,70.456,강남,663.0,2021,1.0,01,01,2021-01-01,-7.2,겨울
2,2021-01-01 02:00:00,67.55,70.456,강남,656.0,2021,1.0,01,02,2021-01-01,-7.6,겨울
3,2021-01-01 03:00:00,66.74,70.456,강남,635.0,2021,1.0,01,03,2021-01-01,-8.2,겨울
4,2021-01-01 04:00:00,66.74,70.456,강남,622.0,2021,1.0,01,04,2021-01-01,-8.1,겨울
5,2021-01-01 05:00:00,67.72,70.456,강남,603.0,2021,1.0,01,05,2021-01-01,-8.7,겨울
6,2021-01-01 06:00:00,67.72,70.456,강남,621.0,2021,1.0,01,06,2021-01-01,-8.9,겨울
7,2021-01-01 07:00:00,67.72,70.456,강남,621.0,2021,1.0,01,07,2021-01-01,-8.2,겨울
8,2021-01-01 08:00:00,65.93,70.456,강남,625.0,2021,1.0,01,08,2021-01-01,-8.4,겨울
9,2021-01-01 09:00:00,67.72,70.456,강남,631.0,2021,1.0,01,09,2021-01-01,-6.9,겨울
10,2021-01-01 10:00:00,67.72,70.456,강남,608.0,2021,1.0,01,10,2021-01-01,-5.1,겨울
11,2021-01-01 11:00:00,66.46,70.456,강남,603.0,2021,1.0,01,11,2021-01-01,-2.5,겨울
12,2021-01-01 12:00:00,64.62,70.456,강남,557.0,2021,1.0,01,12,2021-01-01,-1.6,겨울
13,2021-01-01 13:00:00,63.31,70.456,강남,529.0,2021,1.0,01,13,2021-01-01,-0.6,겨울
14,2021-01-01 14:00:00,64.52,70.456,강남,489.0,2021,1.0,01,14,2021-01-01,1.3,겨울
15,2021-01-01 15:00:00,66.85,70.456,강남,496.0,2021,1.0,01,15,2021-01-01,0.5,겨울
16,2021-01-01 16:00:00,65.36,70.456,강남,499.0,2021,1.0,01,16,2021-01-01,0.7,겨울
17,2021-01-01 17:00:00,67.72,70.456,강남,536.0,2021,1.0,01,17,2021-01-01,0.1,겨울
18,2021-01-01 18:00:00,67.72,70.456,강남,582.0,2021,1.0,01,18,2021-01-01,-0.3,겨울
19,2021-01-01 19:00:00,67.72,70.456,강남,682.0,2021,1.0,01,19,2021-01-01,-0.9,겨울
20,2021-01-01 20:00:00,67.72,70.456,강남,699.0,2021,1.0,01,20,2021-01-01,-1.5,겨울
21,2021-01-01 21:00:00,67.72,70.456,강남,722.0,2021,1.0,01,21,2021-01-01,-1.4,겨울
22,2021-01-01 22:00:00,67.72,70.456,강남,708.0,2021,1.0,01,22,2021-01-01,-1.2,겨울
23,2021-01-01 23:00:00,68.45,70.456,강남,683.0,2021,1.0,01,23,2021-01-01,-1.4,겨울
24,2021-01-02 00:00:00,68.45,70.456,강남,630.0,2021,1.0,02,00,2021-01-02,-2.0,겨울
25,2021-01-02 01:00:00,69.61,70.456,강남,649.0,2021,1.0,02,01,2021-01-02,-2.7,겨울
26,2021-01-02 02:00:00,68.88,70.456,강남,590.0,2021,1.0,02,02,2021-01-02,-3.6,겨울
27,2021-01-02 03:00:00,68.01,70.456,강남,581.0,2021,1.0,02,03,2021-01-02,-4.1,겨울
28,2021-01-02 04:00:00,66.19,70.456,강남,571.0,2021,1.0,02,04,2021-01-02,-5.1,겨울
29,2021-01-02 05:00:00,66.34,70.456,강남,579.0,2021,1.0,02,05,2021-01-02,-5.2,겨울
30,2021-01-02 06:00:00,68.18,70.456,강남,587.0,2021,1.0,02,06,2021-01-02,-6.0,겨울
31,2021-01-02 07:00:00,68.21,70.456,강남,594.0,2021,1.0,02,07,2021-01-02,-5.9,겨울
32,2021-01-02 08:00:00,69.61,70.456,강남,612.0,2021,1.0,02,08,2021-01-02,-6.6,겨울
33,2021-01-02 09:00:00,67.82,70.456,강남,623.0,2021,1.0,02,09,2021-01-02,-5.7,겨울
34,2021-01-02 10:00:00,65.84,70.456,강남,617.0,2021,1.0,02,10,2021-01-02,-4.3,겨울
35,2021-01-02 11:00:00,67.4,70.456,강남,601.0,2021,1.0,02,11,2021-01-02,-3.2,겨울
36,2021-01-02 12:00:00,65.57,70.456,강남,570.0,2021,1.0,02,12,2021-01-02,-2.2,겨울
37,2021-01-02 13:00:00,64.53,70.456,강남,536.0,2021,1.0,02,13,2021-01-02,-1.4,겨울
38,2021-01-02 14:00:00,64.41,70.456,강남,524.0,2021,1.0,02,14,2021-01-02,-0.6,겨울
39,2021-01-02 15:00:00,64.48,70.456,강남,517.0,2021,1.0,02,15,2021-01-02,-0.7,겨울
40,2021-01-02 16:00:00,69.58,70.456,강남,525.0,2021,1.0,02,16,2021-01-02,-1.4,겨울
41,2021-01-02 17:00:00,67.45,70.456,강남,545.0,2021,1.0,02,17,2021-01-02,-1.8,겨울
42,2021-01-02 18:00:00,69.58,70.456,강남,603.0,2021,1.0,02,18,2021-01-02,-2.4,겨울
43,2021-01-02 19:00:00,69.58,70.456,강남,703.0,2021,1.0,02,19,2021-01-02,-2.6,겨울
44,2021-01-02 20:00:00,69.58,70.456,강남,743.0,2021,1.0,02,20,2021-01-02,-3.0,겨울
45,2021-01-02 21:00:00,67.91,70.456,강남,747.0,2021,1.0,02,21,2021-01-02,-3.5,겨울
46,2021-01-02 22:00:00,67.9,70.456,강남,724.0,2021,1.0,02,22,2021-01-02,-4.1,겨울
47,2021-01-02 23:00:00,68.59,70.456,강남,702.0,2021,1.0,02,23,2021-01-02,-4.6,겨울
48,2021-01-03 00:00:00,69.61,70.456,강남,661.0,2021,1.0,03,00,2021-01-03,-5.5,겨울
49,2021-01-03 01:00:00,66.49,70.456,강남,686.0,2021,1.0,03,01,2021-01-03,-6.0,겨울
50,2021-01-03 02:00:00,67.09,70.456,강남,624.0,2021,1.0,03,02,2021-01-03,-6.5,겨울
51,2021-01-03 03:00:00,68.6,70.456,강남,604.0,2021,1.0,03,03,2021-01-03,-6.4,겨울
