date,SMP,LNG (kWh),branch,heat_demand,year,month,day,hour,ymd,imputated_temperature,season,heat_produce,electric_produce,heat_produce_MWh,total_energy,month,E_total,F_Month,F_hat,F_hat_MWh,eta_e,eta_h,eta_total,F_corrected,F_hat_corrected,F_hat_corr_MWh,eta_e_corr,eta_h_corr,eta_total_corr
2021-10-01 00:00:00,102.88,108.146,강남,86.0,2021,10.0,01,00,2021-10-01,18.9,가을,53.0,14.0,61.639,75.63900000000001,2021-10,63884.9342,1014725.0,1201.4222951958525,12.975360788115204,1.0789680709937033,4.750465209141491,5.829433280135195,6944014.586956522,8221.63043478261,94.54875,0.1480717619217599,0.65192823807824,0.8
2021-10-01 01:00:00,105.6,108.146,강남,65.0,2021,10.0,01,01,2021-10-01,18.1,가을,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506111,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
2021-10-01 02:00:00,105.6,108.146,강남,62.0,2021,10.0,01,02,2021-10-01,17.8,가을,54.0,14.0,62.802,76.80199999999999,2021-10,63884.9342,1014725.0,1219.8949631226196,13.174865601724292,1.0626294357164232,4.766803844418773,5.829433280135195,6944014.586956522,8348.04347826087,96.0025,0.1458295356891747,0.6541704643108253,0.7999999999999999
2021-10-01 03:00:00,103.18,108.146,강남,62.0,2021,10.0,01,03,2021-10-01,17.6,가을,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506111,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
2021-10-01 04:00:00,103.18,108.146,강남,62.0,2021,10.0,01,04,2021-10-01,17.4,가을,53.0,14.0,61.639,75.63900000000001,2021-10,63884.9342,1014725.0,1201.4222951958525,12.975360788115204,1.0789680709937033,4.750465209141491,5.829433280135195,6944014.586956522,8221.63043478261,94.54875,0.1480717619217599,0.65192823807824,0.8
2021-10-01 05:00:00,103.18,108.146,강남,64.0,2021,10.0,01,05,2021-10-01,17.1,가을,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506111,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
2021-10-01 06:00:00,106.21,108.146,강남,69.0,2021,10.0,01,06,2021-10-01,17.2,가을,53.0,13.0,61.639,74.63900000000001,2021-10,63884.9342,1014725.0,1185.5386598331977,12.803817526198534,1.015322186012105,4.8141110941230885,5.829433280135194,6944014.586956522,8112.934782608697,93.29875,0.1393373437479065,0.6606626562520933,0.8
2021-10-01 07:00:00,106.42,108.146,강남,85.0,2021,10.0,01,07,2021-10-01,17.4,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
2021-10-01 08:00:00,107.82,108.146,강남,120.0,2021,10.0,01,08,2021-10-01,19.3,가을,48.0,12.0,55.824,67.824,2021-10,63884.9342,1014725.0,1077.2916848367042,11.634750196236409,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7372.173913043479,84.78,0.1415428167020523,0.6584571832979476,0.7999999999999999
2021-10-01 09:00:00,112.58,108.146,강남,125.0,2021,10.0,01,09,2021-10-01,20.7,가을,45.0,12.0,52.335,64.33500000000001,2021-10,63884.9342,1014725.0,1021.8736810564016,11.03623575540914,1.0873272613915026,4.742106018743691,5.829433280135194,6944014.586956522,6992.934782608697,80.41875000000002,0.1492189321520167,0.6507810678479831,0.7999999999999999
2021-10-01 10:00:00,113.13,108.146,강남,123.0,2021,10.0,01,10,2021-10-01,22.4,가을,46.0,12.0,53.498000000000005,65.498,2021-10,63884.9342,1014725.0,1040.3463489831693,11.235740569018228,1.0680203878228698,4.7614128923123245,5.829433280135194,6944014.586956522,7119.347826086957,81.8725,0.1465693608965159,0.6534306391034841,0.8
